applicant_id,cohort,selected,issue,certainty,observed_values,recommended_treatment
101124,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 17.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101166,A_2020,1,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 18.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101213,A_2020,1,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 18.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101237,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": null}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101269,A_2020,1,age_pair_missing,missing,"{""age_at_application"": 13.0, ""age_at_survey"": null}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101296,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 14.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101317,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 13.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101327,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 15.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101346,A_2020,1,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 15.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101354,A_2020,1,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 16.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101357,A_2022,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 13.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101393,B_2018,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 18.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101406,A_2020,1,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 14.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101412,A_2020,1,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 19.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101475,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 16.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101502,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 14.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101529,A_2022,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 12.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101550,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 17.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101561,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 14.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101585,A_2020,0,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 14.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
101589,A_2020,1,age_pair_missing,missing,"{""age_at_application"": null, ""age_at_survey"": 15.0}",Do not fill ages using other-wave age minus three; retain applicant and other outcomes.
100044,A_2022,0,age_decreases,contradiction,"{""age_at_application"": 15.0, ""age_at_survey"": 13.0, ""age_gap"": -2.0}",Preserve raw values; flag both reports as unresolved; keep unrelated outcomes; sensitivity may omit these applicants.
100133,A_2022,1,age_decreases,contradiction,"{""age_at_application"": 13.0, ""age_at_survey"": 12.0, ""age_gap"": -1.0}",Preserve raw values; flag both reports as unresolved; keep unrelated outcomes; sensitivity may omit these applicants.
100368,A_2020,0,age_decreases,contradiction,"{""age_at_application"": 15.0, ""age_at_survey"": 10.0, ""age_gap"": -5.0}",Preserve raw values; flag both reports as unresolved; keep unrelated outcomes; sensitivity may omit these applicants.
100628,A_2022,1,age_decreases,contradiction,"{""age_at_application"": 14.0, ""age_at_survey"": 11.0, ""age_gap"": -3.0}",Preserve raw values; flag both reports as unresolved; keep unrelated outcomes; sensitivity may omit these applicants.
100849,A_2022,0,age_decreases,contradiction,"{""age_at_application"": 12.0, ""age_at_survey"": 10.0, ""age_gap"": -2.0}",Preserve raw values; flag both reports as unresolved; keep unrelated outcomes; sensitivity may omit these applicants.
100910,A_2022,1,age_decreases,contradiction,"{""age_at_application"": 17.0, ""age_at_survey"": 13.0, ""age_gap"": -4.0}",Preserve raw values; flag both reports as unresolved; keep unrelated outcomes; sensitivity may omit these applicants.
101003,A_2022,0,age_decreases,contradiction,"{""age_at_application"": 14.0, ""age_at_survey"": 13.0, ""age_gap"": -1.0}",Preserve raw values; flag both reports as unresolved; keep unrelated outcomes; sensitivity may omit these applicants.
101026,A_2022,1,age_decreases,contradiction,"{""age_at_application"": 14.0, ""age_at_survey"": 13.0, ""age_gap"": -1.0}",Preserve raw values; flag both reports as unresolved; keep unrelated outcomes; sensitivity may omit these applicants.
101503,A_2022,1,age_decreases,contradiction,"{""age_at_application"": 15.0, ""age_at_survey"": 14.0, ""age_gap"": -1.0}",Preserve raw values; flag both reports as unresolved; keep unrelated outcomes; sensitivity may omit these applicants.
101508,A_2022,1,age_decreases,contradiction,"{""age_at_application"": 14.0, ""age_at_survey"": 13.0, ""age_gap"": -1.0}",Preserve raw values; flag both reports as unresolved; keep unrelated outcomes; sensitivity may omit these applicants.
101532,A_2022,0,age_decreases,contradiction,"{""age_at_application"": 13.0, ""age_at_survey"": 12.0, ""age_gap"": -1.0}",Preserve raw values; flag both reports as unresolved; keep unrelated outcomes; sensitivity may omit these applicants.
100000,A_2022,0,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100022,A_2022,0,age_unchanged,review,"{""age_at_application"": 13.0, ""age_at_survey"": 13.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100037,A_2022,1,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100070,A_2022,1,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100071,A_2022,0,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100081,A_2022,1,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100087,A_2022,1,age_unchanged,review,"{""age_at_application"": 13.0, ""age_at_survey"": 13.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100107,A_2022,1,age_unchanged,review,"{""age_at_application"": 13.0, ""age_at_survey"": 13.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100132,A_2022,1,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100155,A_2022,1,age_unchanged,review,"{""age_at_application"": 16.0, ""age_at_survey"": 16.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100159,A_2022,1,age_unchanged,review,"{""age_at_application"": 13.0, ""age_at_survey"": 13.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100182,A_2022,1,age_unchanged,review,"{""age_at_application"": 16.0, ""age_at_survey"": 16.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100219,A_2022,1,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100236,A_2022,0,age_unchanged,review,"{""age_at_application"": 13.0, ""age_at_survey"": 13.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100245,A_2022,1,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100250,A_2022,0,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100259,A_2020,0,age_unchanged,review,"{""age_at_application"": 14.0, ""age_at_survey"": 14.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100276,A_2022,0,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100277,A_2022,0,age_unchanged,review,"{""age_at_application"": 16.0, ""age_at_survey"": 16.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100278,A_2022,1,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100285,A_2022,1,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100305,A_2022,1,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100396,A_2022,1,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100440,A_2022,1,age_unchanged,review,"{""age_at_application"": 15.0, ""age_at_survey"": 15.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100456,A_2022,1,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100473,A_2022,1,age_unchanged,review,"{""age_at_application"": 14.0, ""age_at_survey"": 14.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100521,A_2022,1,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100524,A_2022,1,age_unchanged,review,"{""age_at_application"": 13.0, ""age_at_survey"": 13.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100561,A_2022,1,age_unchanged,review,"{""age_at_application"": 11.0, ""age_at_survey"": 11.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100626,A_2022,1,age_unchanged,review,"{""age_at_application"": 14.0, ""age_at_survey"": 14.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100651,A_2022,0,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100654,A_2022,1,age_unchanged,review,"{""age_at_application"": 11.0, ""age_at_survey"": 11.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100689,A_2022,1,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100765,A_2022,0,age_unchanged,review,"{""age_at_application"": 11.0, ""age_at_survey"": 11.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100779,A_2022,0,age_unchanged,review,"{""age_at_application"": 13.0, ""age_at_survey"": 13.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100784,A_2022,1,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100796,A_2022,0,age_unchanged,review,"{""age_at_application"": 13.0, ""age_at_survey"": 13.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100802,A_2022,1,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100816,A_2022,1,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100821,A_2022,0,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100830,A_2022,1,age_unchanged,review,"{""age_at_application"": 11.0, ""age_at_survey"": 11.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100833,A_2022,1,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100838,A_2022,0,age_unchanged,review,"{""age_at_application"": 15.0, ""age_at_survey"": 15.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100863,A_2022,0,age_unchanged,review,"{""age_at_application"": 13.0, ""age_at_survey"": 13.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100867,A_2022,0,age_unchanged,review,"{""age_at_application"": 13.0, ""age_at_survey"": 13.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100870,A_2022,1,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100892,A_2022,1,age_unchanged,review,"{""age_at_application"": 11.0, ""age_at_survey"": 11.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100900,A_2022,0,age_unchanged,review,"{""age_at_application"": 14.0, ""age_at_survey"": 14.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100945,A_2022,0,age_unchanged,review,"{""age_at_application"": 16.0, ""age_at_survey"": 16.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100951,A_2022,0,age_unchanged,review,"{""age_at_application"": 11.0, ""age_at_survey"": 11.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100954,A_2022,1,age_unchanged,review,"{""age_at_application"": 11.0, ""age_at_survey"": 11.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100980,A_2022,0,age_unchanged,review,"{""age_at_application"": 15.0, ""age_at_survey"": 15.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100992,A_2022,0,age_unchanged,review,"{""age_at_application"": 14.0, ""age_at_survey"": 14.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100995,A_2022,1,age_unchanged,review,"{""age_at_application"": 14.0, ""age_at_survey"": 14.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
100996,A_2022,0,age_unchanged,review,"{""age_at_application"": 15.0, ""age_at_survey"": 15.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
101007,A_2022,1,age_unchanged,review,"{""age_at_application"": 11.0, ""age_at_survey"": 11.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
101011,A_2022,1,age_unchanged,review,"{""age_at_application"": 11.0, ""age_at_survey"": 11.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
101048,A_2022,1,age_unchanged,review,"{""age_at_application"": 11.0, ""age_at_survey"": 11.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
101052,A_2022,0,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
101098,A_2022,1,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
101136,A_2022,0,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
101147,A_2022,0,age_unchanged,review,"{""age_at_application"": 16.0, ""age_at_survey"": 16.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
101175,A_2022,1,age_unchanged,review,"{""age_at_application"": 13.0, ""age_at_survey"": 13.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
101196,A_2022,0,age_unchanged,review,"{""age_at_application"": 14.0, ""age_at_survey"": 14.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
101198,A_2022,0,age_unchanged,review,"{""age_at_application"": 11.0, ""age_at_survey"": 11.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
101223,A_2022,0,age_unchanged,review,"{""age_at_application"": 13.0, ""age_at_survey"": 13.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
101224,A_2022,0,age_unchanged,review,"{""age_at_application"": 11.0, ""age_at_survey"": 11.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
101235,A_2022,0,age_unchanged,review,"{""age_at_application"": 13.0, ""age_at_survey"": 13.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
101252,A_2022,0,age_unchanged,review,"{""age_at_application"": 15.0, ""age_at_survey"": 15.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
101264,A_2022,1,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
101284,A_2022,1,age_unchanged,review,"{""age_at_application"": 12.0, ""age_at_survey"": 12.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
101304,A_2022,1,age_unchanged,review,"{""age_at_application"": 11.0, ""age_at_survey"": 11.0, ""age_gap"": 0.0}","Flag timing discrepancy, not a proven typo; retain records and avoid adjusting for follow-up age."
